StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,freq,know,freq2,deterministic_1,deterministic_2,deterministic_3,deterministic_4,deterministic_5,deterministic_6,deterministic_7,deterministic_8,probabilistic_1,probabilistic_2,probabilistic_3,probabilistic_4,probabilistic_5,probabilistic_6,probabilistic_7,probabilistic_8,hover,PROLIFIC_PID,STUDY_ID,SESSION_ID,condition
2023-06-24 21:08:57,2023-06-24 21:10:21,0,67.245.235.171,100,84,1,2023-06-24 21:10:22,R_1OVSy5P2DtGb3WD,,,,,40.6799,-74.0028,anonymous,EN,1,1,4,,,,,,,,,4,2,4,4,2,3,4,2,3,60edc8b4b70a4a4131a8bcfa,6497af9b5812d44d19ee6a07,6497afc0e2b9f89ef275f54b,probabilistic
2023-06-24 21:12:16,2023-06-24 21:13:45,0,24.179.32.244,100,88,1,2023-06-24 21:13:46,R_A72eeGNkVBsCmch,,,,,32.5919,-85.5203,anonymous,EN,1,1,2,,,,,,,,,2,2,2,2,3,3,4,3,3,6101f5eb4bc27ee995b02b1c,6497af9b5812d44d19ee6a07,6497b08a8206fbb4af13a6a2,probabilistic
2023-06-24 21:16:00,2023-06-24 21:16:42,0,162.193.107.81,100,42,1,2023-06-24 21:16:43,R_2wzCe5f0qM4H9Rb,,,,,34.0544,-118.2441,anonymous,EN,1,1,3,4,4,4,4,4,4,2,4,,,,,,,,,3,60fd9e8a7c7bd89ff4af7816,6497af9b5812d44d19ee6a07,6497b16b9058bfe4794227ed,deterministic
2023-06-24 21:17:54,2023-06-24 21:18:49,0,184.152.104.247,100,55,1,2023-06-24 21:18:50,R_1rOCDkPobGjbUdU,,,,,40.7584,-73.7973,anonymous,EN,1,1,1,,,,,,,,,1,1,1,1,2,1,2,1,3,62785b6530a3dfd84d8fc34a,6497af9b5812d44d19ee6a07,6497b1dc714bc251c2b09489,probabilistic
2023-06-24 21:19:05,2023-06-24 21:20:22,0,75.88.1.238,100,76,1,2023-06-24 21:20:23,R_4MmknarJd69cMiR,,,,,40.809,-79.5189,anonymous,EN,3,4,1,5,2,5,4,5,1,2,3,,,,,,,,,3,64135d9db0d03edba0b91c08,6497af9b5812d44d19ee6a07,6497b22427f616f723b350cb,deterministic
2023-06-24 21:19:55,2023-06-24 21:21:45,0,24.144.1.35,100,110,1,2023-06-24 21:21:46,R_28FK1dsK4h3cTJ3,,,,,35.0848,-92.4242,anonymous,EN,1,1,2,4,4,3,3,4,4,3,4,,,,,,,,,4,5d3bdd3e3dcf870019c76307,6497af9b5812d44d19ee6a07,6497b251afcf2a5ccbca52ff,deterministic
2023-06-24 21:20:26,2023-06-24 21:22:23,0,71.224.27.63,100,116,1,2023-06-24 21:22:24,R_1lnsbokynzkTYDi,,,,,39.9544,-75.1657,anonymous,EN,1,2,2,,,,,,,,,2,3,4,3,3,2,4,2,4,5766e623236f930001a69a32,6497af9b5812d44d19ee6a07,6497b263d78727c122956294,probabilistic
2023-06-24 21:21:59,2023-06-24 21:23:46,0,24.95.90.231,100,107,1,2023-06-24 21:23:47,R_1eCYeYM0VdJrA6j,,,,,39.7425,-84.6513,anonymous,EN,1,4,1,5,1,3,1,5,5,5,5,,,,,,,,,5,6111c28f3db4a360397970a7,6497af9b5812d44d19ee6a07,6497b2c257ccb576fdc25ae0,deterministic
2023-06-24 21:26:38,2023-06-24 21:27:31,0,76.244.39.8,100,53,1,2023-06-24 21:27:32,R_ufU6x4M9LDo4nux,,,,,37.3773,-122.0194,anonymous,EN,1,2,3,,,,,,,,,3,2,2,2,2,2,3,2,4,5ebfa1b06c113a392d7b16ad,6497af9b5812d44d19ee6a07,6497b3e84dbf380ccd49981c,probabilistic
2023-06-24 21:25:50,2023-06-24 21:28:50,0,73.220.186.66,100,180,1,2023-06-24 21:28:51,R_4NqeXXy6jYNbvBn,,,,,37.778,-121.2316,anonymous,EN,1,1,4,,,,,,,,,2,3,4,4,3,2,4,3,4,63ed2c1c840bed5a398b9e1f,6497af9b5812d44d19ee6a07,6497b3b3f5c10d3d4dbf7d1e,probabilistic
2023-06-24 21:29:04,2023-06-24 21:30:23,0,74.112.59.164,100,79,1,2023-06-24 21:30:24,R_1eqSzgJctKnSTHN,,,,,28.6271,-81.7264,anonymous,EN,1,2,1,5,4,4,3,4,4,3,4,,,,,,,,,4,628c2e1e3916aa699ba41227,6497af9b5812d44d19ee6a07,6497b478e26099474e94af2f,deterministic
2023-06-24 21:30:24,2023-06-24 21:31:54,0,174.49.148.30,100,90,1,2023-06-24 21:31:55,R_T2iNtzYMYZtzVDj,,,,,40.5488,-75.9874,anonymous,EN,1,2,1,,,,,,,,,3,2,3,3,2,3,4,2,1,56b395fa2bac74000d89c16f,6497af9b5812d44d19ee6a07,6497b4c8a4d361da3eac73b8,probabilistic
2023-06-24 21:30:39,2023-06-24 21:32:43,0,108.92.217.48,100,124,1,2023-06-24 21:32:44,R_2zbtZ496glmWwzE,,,,,39.0539,-95.7097,anonymous,EN,1,1,2,,,,,,,,,2,2,2,2,2,3,4,3,4,5e9fd54cd03d43182cc598fb,6497af9b5812d44d19ee6a07,6497b4d83bc5a345ba819ebf,probabilistic
2023-06-24 21:34:00,2023-06-24 21:35:44,0,73.71.161.102,100,104,1,2023-06-24 21:35:45,R_33eZApfJwapxeBc,,,,,38.4782,-122.7475,anonymous,EN,2,2,5,4,3,3,1,4,4,3,3,,,,,,,,,6,613a4dd078886bbc7a4a8819,6497af9b5812d44d19ee6a07,6497b59ee6d863bc3cb094ae,deterministic
2023-06-24 21:34:28,2023-06-24 21:36:04,0,132.147.141.144,100,96,1,2023-06-24 21:36:05,R_2QX1q7aiqtBODWt,,,,,41.0583,-96.3937,anonymous,EN,1,1,2,,,,,,,,,2,2,2,2,1,2,4,1,2,6434470f4d8f8a39b2db0e63,6497af9b5812d44d19ee6a07,6497b5b96453055f6a3e3440,probabilistic
2023-06-24 21:36:25,2023-06-24 21:37:11,0,104.32.218.231,100,45,1,2023-06-24 21:37:12,R_1BQOt8SDUSbwdJS,,,,,33.9854,-117.8972,anonymous,EN,4,2,5,4,4,2,3,4,2,1,2,,,,,,,,,6,64144beb43f059cf61508618,6497af9b5812d44d19ee6a07,6497b634cffcd4520259c37e,deterministic
2023-06-24 21:35:02,2023-06-24 21:37:12,0,172.251.115.241,100,130,1,2023-06-24 21:37:12,R_2CdcKWpyy74DDtY,,,,,34.1649,-119.172,anonymous,EN,2,3,4,5,5,2,3,5,2,3,3,,,,,,,,,4,6167393000206565f1cdaf7d,6497af9b5812d44d19ee6a07,6497b5d223c377e21e3e3449,deterministic
