StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,freq,know,freq2,deterministic_1,deterministic_2,deterministic_3,deterministic_4,deterministic_5,deterministic_6,deterministic_7,deterministic_8,probabilistic_1,probabilistic_2,probabilistic_3,probabilistic_4,probabilistic_5,probabilistic_6,probabilistic_7,probabilistic_8,hover,PROLIFIC_PID,STUDY_ID,SESSION_ID,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"When you google something, how frequently do you utilize the ""I'm feeling lucky"" button?","How knowledgeable are you about what the ""I'm feeling lucky"" button does?","Now that you know what the ""I'm feeling lucky"" button does, how frequently do you plan to utilize the ""I'm feeling lucky"" button when you google something?",Suggest your agreement with the statements below - I want to be in control of where I am headed.,Suggest your agreement with the statements below - I want to be able to predict the future.,Suggest your agreement with the statements below - I prefer staying within the bounds of what is known.,Suggest your agreement with the statements below - Certainty is my cup of tea.,Suggest your agreement with the statements below - I like to have full visibility of what I am getting into even if it takes more time.,Suggest your agreement with the statements below - I do not leave things to chance or luck.,Suggest your agreement with the statements below - I do not like taking shortcuts.,Suggest your agreement with the statements below - I avoid the shortcuts where I do not know what I will get even if they could get me to my destination super quickly.,Suggest your agreement with the statements below - The direction I am headed in need not be controlled by me.,Suggest your agreement with the statements below - I want the future to take its course without me knowing about it in advance.,Suggest your agreement with the statements below - I prefer venturing out into the unknown.,Suggest your agreement with the statements below - Uncertainty is my cup of tea.,Suggest your agreement with the statements below - I avoid having full visibility of what I am getting into because it takes more time.,Suggest your agreement with the statements below - I leave things to chance or luck.,Suggest your agreement with the statements below - I like taking shortcuts.,Suggest your agreement with the statements below - I like taking shortcuts where I do not know what I will get because they could get me to my destination super quickly.,"Suppose after entering the search phrase but before clicking ""I'm feeling lucky"", you could see the webpage where you would end up as soon as you hovered over the ""I'm feeling lucky"" button. This would allow you to click the ""Google Search"" button instead if you did not like the preview upon hovering over the ""I'm feeling lucky"" button.



In such a scenario, how frequently would you plan to utilize the ""I'm feeling lucky"" button when you google something?",PROLIFIC_PID,STUDY_ID,SESSION_ID,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID6""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""condition""}"
2023-06-24 21:08:57,2023-06-24 21:10:21,IP Address,67.245.235.171,100,84,True,2023-06-24 21:10:22,R_1OVSy5P2DtGb3WD,,,,,40.6799,-74.0028,anonymous,EN,Never,Not at all knowledgeable,Occasionally,,,,,,,,,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Rarely,60edc8b4b70a4a4131a8bcfa,6497af9b5812d44d19ee6a07,6497afc0e2b9f89ef275f54b,probabilistic
2023-06-24 21:12:16,2023-06-24 21:13:45,IP Address,24.179.32.244,100,88,True,2023-06-24 21:13:46,R_A72eeGNkVBsCmch,,,,,32.5919,-85.5203,anonymous,EN,Never,Not at all knowledgeable,Very Rarely,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Rarely,6101f5eb4bc27ee995b02b1c,6497af9b5812d44d19ee6a07,6497b08a8206fbb4af13a6a2,probabilistic
2023-06-24 21:16:00,2023-06-24 21:16:42,IP Address,162.193.107.81,100,42,True,2023-06-24 21:16:43,R_2wzCe5f0qM4H9Rb,,,,,34.0544,-118.2441,anonymous,EN,Never,Not at all knowledgeable,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,,,,,,,,,Rarely,60fd9e8a7c7bd89ff4af7816,6497af9b5812d44d19ee6a07,6497b16b9058bfe4794227ed,deterministic
2023-06-24 21:17:54,2023-06-24 21:18:49,IP Address,184.152.104.247,100,55,True,2023-06-24 21:18:50,R_1rOCDkPobGjbUdU,,,,,40.7584,-73.7973,anonymous,EN,Never,Not at all knowledgeable,Never,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,62785b6530a3dfd84d8fc34a,6497af9b5812d44d19ee6a07,6497b1dc714bc251c2b09489,probabilistic
2023-06-24 21:19:05,2023-06-24 21:20:22,IP Address,75.88.1.238,100,76,True,2023-06-24 21:20:23,R_4MmknarJd69cMiR,,,,,40.809,-79.5189,anonymous,EN,Rarely,Very knowledgeable,Never,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Neither agree nor disagree,,,,,,,,,Rarely,64135d9db0d03edba0b91c08,6497af9b5812d44d19ee6a07,6497b22427f616f723b350cb,deterministic
2023-06-24 21:19:55,2023-06-24 21:21:45,IP Address,24.144.1.35,100,110,True,2023-06-24 21:21:46,R_28FK1dsK4h3cTJ3,,,,,35.0848,-92.4242,anonymous,EN,Never,Not at all knowledgeable,Very Rarely,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,,,,,,,,,Occasionally,5d3bdd3e3dcf870019c76307,6497af9b5812d44d19ee6a07,6497b251afcf2a5ccbca52ff,deterministic
2023-06-24 21:20:26,2023-06-24 21:22:23,IP Address,71.224.27.63,100,116,True,2023-06-24 21:22:24,R_1lnsbokynzkTYDi,,,,,39.9544,-75.1657,anonymous,EN,Never,Slightly knowledgeable,Very Rarely,,,,,,,,,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Occasionally,5766e623236f930001a69a32,6497af9b5812d44d19ee6a07,6497b263d78727c122956294,probabilistic
2023-06-24 21:21:59,2023-06-24 21:23:46,IP Address,24.95.90.231,100,107,True,2023-06-24 21:23:47,R_1eCYeYM0VdJrA6j,,,,,39.7425,-84.6513,anonymous,EN,Never,Very knowledgeable,Never,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,Frequently,6111c28f3db4a360397970a7,6497af9b5812d44d19ee6a07,6497b2c257ccb576fdc25ae0,deterministic
